gene,growth_wt,growth_ko,percent_change,lethal_flag
SGL_RS11680,0.07653046659469502,-3.701578488971354e-17,-100.00000000000004,True
SGL_RS16800,0.07653046659469502,-2.3380417884960405e-17,-100.00000000000004,True
SGL_RS05885,0.07653046659469502,-3.1895502092616175e-17,-100.00000000000004,True
SGL_RS09760,0.07653046659469502,-3.62517591206273e-17,-100.00000000000004,True
SGL_RS16390,0.07653046659469502,-4.019130683628412e-17,-100.00000000000004,True
SGL_RS12575,0.07653046659469502,-3.063794133887375e-17,-100.00000000000004,True
SGL_RS16700,0.07653046659469502,-2.9158539891359715e-17,-100.00000000000004,True
SGL_RS06435,0.07653046659469502,-3.5710030537615116e-17,-100.00000000000004,True
SGL_RS06985,0.07653046659469502,-3.063794133887375e-17,-100.00000000000004,True
SGL_RS10015,0.07653046659469502,-4.4873029888065666e-17,-100.00000000000004,True
SGL_RS16510,0.07653046659469502,-3.5637740884376207e-17,-100.00000000000004,True
SGL_RS18250,0.07653046659469502,-3.788767516500226e-17,-100.00000000000004,True
SGL_RS17050,0.07653046659469502,-4.080391427859395e-17,-100.00000000000004,True
SGL_RS03425,0.07653046659469502,-3.5710030537615116e-17,-100.00000000000004,True
SGL_RS17155,0.07653046659469502,-1.85319642686604e-17,-100.00000000000003,True
SGL_RS16430,0.07653046659469502,-1.3444049894657278e-17,-100.00000000000003,True
SGL_RS10995,0.07653046659469502,-1.2458933667712838e-17,-100.00000000000003,True
SGL_RS16035,0.07653046659469502,-1.9112351196298555e-17,-100.00000000000003,True
SGL_RS17150,0.07653046659469502,-1.85319642686604e-17,-100.00000000000003,True
SGL_RS17140,0.07653046659469502,-1.85319642686604e-17,-100.00000000000003,True
SGL_RS10355,0.07653046659469502,-1.3444049894657172e-17,-100.00000000000003,True
SGL_RS07645,0.07653046659469502,-9.625201867183709e-18,-100.00000000000003,True
SGL_RS09150,0.07653046659469502,-1.0711672320305898e-17,-100.00000000000003,True
SGL_RS02200,0.07653046659469502,-9.62520186718369e-18,-100.00000000000003,True
SGL_RS04875,0.07653046659469502,-1.8102254073612562e-17,-100.00000000000003,True
SGL_RS16920,0.07653046659469502,-9.625201867183693e-18,-100.00000000000003,True
SGL_RS17290,0.07653046659469502,-9.625201867183693e-18,-100.00000000000003,True
SGL_RS09070,0.07653046659469502,-1.964260205473544e-17,-100.00000000000003,True
SGL_RS04850,0.07653046659469502,-9.625201867183709e-18,-100.00000000000003,True
SGL_RS05890,0.07653046659469502,-1.0466494988844497e-17,-100.00000000000003,True
SGL_RS11020,0.07653046659469502,-1.3273075726808122e-17,-100.00000000000003,True
SGL_RS07245,0.07653046659469502,-1.2495627490971741e-17,-100.00000000000003,True
SGL_RS18195,0.07653046659469502,-7.255201603849672e-18,-100.00000000000003,True
SGL_RS02550,0.07653046659469502,-1.0466494988844497e-17,-100.00000000000003,True
SGL_RS16625,0.07653046659469502,-1.9328169921439242e-17,-100.00000000000003,True
SGL_RS16610,0.07653046659469502,-1.9328169921439242e-17,-100.00000000000003,True
SGL_RS16190,0.07653046659469502,-1.4300930242710734e-17,-100.00000000000003,True
SGL_RS07110,0.07653046659469502,0.0,-100.0,True
SGL_RS12400,0.07653046659469502,-1.3538979997056794e-18,-100.0,True
SGL_RS13060,0.07653046659469502,0.0,-100.0,True
SGL_RS13445,0.07653046659469502,0.0,-100.0,True
SGL_RS17340,0.07653046659469502,0.0,-100.0,True
SGL_RS11120,0.07653046659469502,0.0,-100.0,True
SGL_RS16710,0.07653046659469502,0.0,-100.0,True
SGL_RS10130,0.07653046659469502,0.0,-100.0,True
SGL_RS07755,0.07653046659469502,0.0,-100.0,True
SGL_RS08515,0.07653046659469502,0.0,-100.0,True
