gene,WT_growth,KO_growth,Percent_change
SGL_RS02245,0.0,0.0,0
SGL_RS05240,0.0,0.0,0
SGL_RS13790,0.0,0.0,0
SGL_RS17385,0.0,0.0,0
SGL_RS17175,0.0,0.0,0
SGL_RS02305,0.0,0.0,0
SGL_RS08585,0.0,0.0,0
SGL_RS12595,0.0,0.0,0
SGL_RS07720,0.0,0.0,0
SGL_RS15590,0.0,0.0,0
SGL_RS10125,0.0,0.0,0
SGL_RS05025,0.0,0.0,0
SGL_RS07315,0.0,0.0,0
SGL_RS04365,0.0,0.0,0
SGL_RS13205,0.0,0.0,0
SGL_RS18055,0.0,0.0,0
SGL_RS08590,0.0,0.0,0
SGL_RS03465,0.0,0.0,0
SGL_RS07320,0.0,0.0,0
SGL_RS05235,0.0,0.0,0
SGL_RS11420,0.0,0.0,0
SGL_RS09170,0.0,0.0,0
SGL_RS16400,0.0,0.0,0
SGL_RS06975,0.0,0.0,0
SGL_RS03255,0.0,0.0,0
sml0004,0.0,0.0,0
SGL_RS07605,0.0,0.0,0
SGL_RS16420,0.0,0.0,0
SGL_RS11345,0.0,0.0,0
SGL_RS13385,0.0,0.0,0
SGL_RS10620,0.0,0.0,0
SGL_RS06890,0.0,0.0,0
SGL_RS12650,0.0,0.0,0
SGL_RS04090,0.0,0.0,0
SGL_RS13180,0.0,0.0,0
SGL_RS17045,0.0,0.0,0
SGL_RS06885,0.0,0.0,0
SGL_RS07215,0.0,0.0,0
SGL_RS02600,0.0,0.0,0
SGL_RS12900,0.0,0.0,0
SGL_RS17240,0.0,0.0,0
SGL_RS17820,0.0,0.0,0
SGL_RS11980,0.0,0.0,0
SGL_RS04800,0.0,0.0,0
SGL_RS06605,0.0,0.0,0
SGL_RS13765,0.0,0.0,0
SGL_RS09810,0.0,0.0,0
SGL_RS11240,0.0,0.0,0
SGL_RS03315,0.0,0.0,0
SGL_RS17825,0.0,0.0,0
SGL_RS09805,0.0,0.0,0
SGL_RS14390,0.0,0.0,0
SGL_RS12450,0.0,0.0,0
SGL_RS09800,0.0,0.0,0
SGL_RS17675,0.0,0.0,0
SGL_RS13120,0.0,0.0,0
SGL_RS02435,0.0,0.0,0
SGL_RS10950,0.0,0.0,0
SGL_RS17740,0.0,0.0,0
SGL_RS14055,0.0,0.0,0
SGL_RS06955,0.0,0.0,0
SGL_RS06050,0.0,0.0,0
SGL_RS02220,0.0,0.0,0
SGL_RS12695,0.0,0.0,0
SGL_RS14110,0.0,0.0,0
SGL_RS15525,0.0,0.0,0
SGL_RS06310,0.0,0.0,0
SGL_RS15530,0.0,0.0,0
SGL_RS06305,0.0,0.0,0
SGL_RS09775,0.0,0.0,0
SGL_RS15145,0.0,0.0,0
SGL_RS17400,0.0,0.0,0
SGL_RS11220,0.0,0.0,0
SGL_RS12620,0.0,0.0,0
SGL_RS02560,0.0,0.0,0
SGL_RS09960,0.0,0.0,0
SGL_RS18210,0.0,0.0,0
SGL_RS06150,0.0,0.0,0
SGL_RS16805,0.0,0.0,0
SGL_RS10610,0.0,0.0,0
SGL_RS03975,0.0,0.0,0
SGL_RS06690,0.0,0.0,0
SGL_RS13560,0.0,0.0,0
SGL_RS11780,0.0,0.0,0
SGL_RS08960,0.0,0.0,0
SGL_RS18300,0.0,0.0,0
SGL_RS03545,0.0,0.0,0
SGL_RS05700,0.0,0.0,0
SGL_RS03705,0.0,0.0,0
SGL_RS12135,0.0,0.0,0
SGL_RS18250,0.0,0.0,0
SGL_RS10530,0.0,0.0,0
SGL_RS08980,0.0,0.0,0
SGL_RS10995,0.0,0.0,0
SGL_RS06260,0.0,0.0,0
SGL_RS06530,0.0,0.0,0
SGL_RS11630,0.0,0.0,0
SGL_RS13450,0.0,0.0,0
SGL_RS03640,0.0,0.0,0
SGL_RS14680,0.0,0.0,0
SGL_RS18120,0.0,0.0,0
SGL_RS14935,0.0,0.0,0
SGL_RS15130,0.0,0.0,0
SGL_RS09825,0.0,0.0,0
SGL_RS03555,0.0,0.0,0
SGL_RS09235,0.0,0.0,0
SGL_RS14955,0.0,0.0,0
SGL_RS12365,0.0,0.0,0
SGL_RS11685,0.0,0.0,0
SGL_RS11935,0.0,0.0,0
SGL_RS13125,0.0,0.0,0
SGL_RS12335,0.0,0.0,0
SGL_RS02095,0.0,0.0,0
SGL_RS08785,0.0,0.0,0
SGL_RS15915,0.0,0.0,0
SGL_RS11645,0.0,0.0,0
SGL_RS13520,0.0,0.0,0
SGL_RS16825,0.0,0.0,0
SGL_RS11340,0.0,0.0,0
SGL_RS02240,0.0,0.0,0
SGL_RS08220,0.0,0.0,0
SGL_RS11095,0.0,0.0,0
SGL_RS10440,0.0,0.0,0
SGL_RS07800,0.0,0.0,0
SGL_RS02195,0.0,0.0,0
SGL_RS04330,0.0,0.0,0
SGL_RS05755,0.0,0.0,0
SGL_RS11080,0.0,0.0,0
SGL_RS12880,0.0,0.0,0
SGL_RS04290,0.0,0.0,0
SGL_RS04440,0.0,0.0,0
SGL_RS16460,0.0,0.0,0
SGL_RS10555,0.0,0.0,0
smr0009,0.0,0.0,0
SGL_RS03805,0.0,0.0,0
SGL_RS11425,0.0,0.0,0
SGL_RS12080,0.0,0.0,0
SGL_RS15155,0.0,0.0,0
SGL_RS14825,0.0,0.0,0
SGL_RS04530,0.0,0.0,0
SGL_RS16405,0.0,0.0,0
SGL_RS02645,0.0,0.0,0
SGL_RS10195,0.0,0.0,0
SGL_RS10200,0.0,0.0,0
SGL_RS17005,0.0,0.0,0
SGL_RS17420,0.0,0.0,0
SGL_RS02635,0.0,0.0,0
SGL_RS12840,0.0,0.0,0
sml0003,0.0,0.0,0
SGL_RS16845,0.0,0.0,0
SGL_RS08270,0.0,0.0,0
SGL_RS18375,0.0,0.0,0
SGL_RS08200,0.0,0.0,0
SGL_RS12175,0.0,0.0,0
SGL_RS17225,0.0,0.0,0
SGL_RS15330,0.0,0.0,0
SGL_RS10805,0.0,0.0,0
SGL_RS10250,0.0,0.0,0
SGL_RS14050,0.0,0.0,0
SGL_RS04540,0.0,0.0,0
SGL_RS10020,0.0,0.0,0
SGL_RS04525,0.0,0.0,0
SGL_RS09330,0.0,0.0,0
SGL_RS15395,0.0,0.0,0
SGL_RS12945,0.0,0.0,0
SGL_RS04435,0.0,0.0,0
SGL_RS08065,0.0,0.0,0
SGL_RS15280,0.0,0.0,0
SGL_RS03265,0.0,0.0,0
SGL_RS08070,0.0,0.0,0
SGL_RS15350,0.0,0.0,0
SGL_RS01910,0.0,0.0,0
SGL_RS03870,0.0,0.0,0
SGL_RS05860,0.0,0.0,0
SGL_RS04465,0.0,0.0,0
SGL_RS08205,0.0,0.0,0
SGL_RS16820,0.0,0.0,0
SGL_RS04535,0.0,0.0,0
SGL_RS13860,0.0,0.0,0
SGL_RS07325,0.0,0.0,0
SGL_RS03280,0.0,0.0,0
SGL_RS11735,0.0,0.0,0
SGL_RS09105,0.0,0.0,0
SGL_RS02795,0.0,0.0,0
SGL_RS03420,0.0,0.0,0
SGL_RS17215,0.0,0.0,0
SGL_RS11800,0.0,0.0,0
SGL_RS18015,0.0,0.0,0
SGL_RS08090,0.0,0.0,0
SGL_RS09915,0.0,0.0,0
SGL_RS18130,0.0,0.0,0
SGL_RS04545,0.0,0.0,0
SGL_RS16510,0.0,0.0,0
SGL_RS12850,0.0,0.0,0
SGL_RS14335,0.0,0.0,0
SGL_RS04775,0.0,0.0,0
SGL_RS11140,0.0,0.0,0
SGL_RS02070,0.0,0.0,0
SGL_RS13720,0.0,0.0,0
SGL_RS09705,0.0,0.0,0
SGL_RS17620,0.0,0.0,0
SGL_RS02680,0.0,0.0,0
SGL_RS14105,0.0,0.0,0
SGL_RS10800,0.0,0.0,0
SGL_RS06810,0.0,0.0,0
SGL_RS09375,0.0,0.0,0
SGL_RS14660,0.0,0.0,0
SGL_RS06335,0.0,0.0,0
SGL_RS09385,0.0,0.0,0
SGL_RS03195,0.0,0.0,0
SGL_RS10525,0.0,0.0,0
SGL_RS15355,0.0,0.0,0
SGL_RS08510,0.0,0.0,0
SGL_RS08400,0.0,0.0,0
SGL_RS10240,0.0,0.0,0
SGL_RS14190,0.0,0.0,0
SGL_RS17125,0.0,0.0,0
SGL_RS13965,0.0,0.0,0
SGL_RS09325,0.0,0.0,0
SGL_RS09720,0.0,0.0,0
SGL_RS08395,0.0,0.0,0
SGL_RS08405,0.0,0.0,0
SGL_RS14200,0.0,0.0,0
SGL_RS13795,0.0,0.0,0
SGL_RS14205,0.0,0.0,0
SGL_RS05665,0.0,0.0,0
SGL_RS06985,0.0,0.0,0
SGL_RS01930,0.0,0.0,0
SGL_RS12575,0.0,0.0,0
SGL_RS17700,0.0,0.0,0
SGL_RS07670,0.0,0.0,0
SGL_RS02030,0.0,0.0,0
SGL_RS11360,0.0,0.0,0
SGL_RS01945,0.0,0.0,0
SGL_RS12910,0.0,0.0,0
SGL_RS13365,0.0,0.0,0
SGL_RS13980,0.0,0.0,0
SGL_RS01970,0.0,0.0,0
SGL_RS01935,0.0,0.0,0
SGL_RS08770,0.0,0.0,0
SGL_RS01940,0.0,0.0,0
SGL_RS13735,0.0,0.0,0
SGL_RS11085,0.0,0.0,0
SGL_RS05440,0.0,0.0,0
SGL_RS02035,0.0,0.0,0
SGL_RS17630,0.0,0.0,0
SGL_RS12965,0.0,0.0,0
SGL_RS02955,0.0,0.0,0
SGL_RS07245,0.0,0.0,0
SGL_RS08820,0.0,0.0,0
SGL_RS12240,0.0,0.0,0
SGL_RS08810,0.0,0.0,0
SGL_RS08815,0.0,0.0,0
SGL_RS12395,0.0,0.0,0
